aoi_id,nome_exibicao,operador,municipio,uf,regiao,bioma_estimado,n_predios,predios_json,ano_construcao_min,ano_operacao_min,ano_construcao_max,ano_operacao_max,periodo_pre,periodo_durante,periodo_pos,status_2026,elegivel,criterio_reprovacao,tier,fonte_lista,fontes_url,lat,lon,precisao_coordenada,observacao
ascenty-sumare,Ascenty Sumaré (campus),Ascenty,Sumaré,SP,Sudeste,Mata Atlântica,2,"[{""nome"": ""Ascenty Sumaré 1"", ""ano_construcao"": ""2017"", ""ano_operacao"": ""2017"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}, {""nome"": ""Ascenty Sumaré 2"", ""ano_construcao"": ""2019"", ""ano_operacao"": ""2019"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}]",2017,2017,2019,2019,2014-2016,2017-2019,2020-2025,Operacional,True,,1,lista_20,,,,pendente,"Fusão de nível AOI: Sumaré 1 e 2, mesmo operador+município, só na lista_20 (não aparece na lista_30). Construção 2017 é o evento mais antigo do conjunto elegível — ERA LANDSAT, essencial para o critério de aceite 'pelo menos 2 AOIs tier 1 com obra antes de 2019'. Coordenada 'A validar' nas duas colunas da lista_20 — nenhuma fonte de coordenada disponível nesta etapa; E3 aprovado só pela plausibilidade de fonte (Ascenty publica página de localização por unidade), não por uma URL já em mãos."
ascenty-vinhedo,Ascenty Vinhedo,Ascenty,Vinhedo,SP,Sudeste,Mata Atlântica,2,"[{""nome"": ""Ascenty Vinhedo 1"", ""ano_construcao"": ""2019"", ""ano_operacao"": ""2019"", ""status"": ""Operacional"", ""fonte"": ""lista_20+lista_30""}, {""nome"": ""Ascenty Vinhedo 2"", ""ano_construcao"": ""2020"", ""ano_operacao"": ""2020"", ""status"": ""Operacional"", ""fonte"": ""lista_20+lista_30""}]",2019,2019,2020,2020,2016-2018,2019-2020,2021-2025,Operacional,True,,1,lista_20+lista_30,https://ascenty.com/data-centers/localizacao/brasil/sao-paulo-interior/vinhedo/,,,confirmada,"AOI já existente (ADR-001), aoi_id fixo — não renomear. Coordenada real já está em config/sites.geojson (-23.0700044,-47.0118926), confirmada via Google Maps; lat/lon deste arquivo ficam vazios por consistência de schema com as demais linhas, não porque a coordenada esteja pendente. Fusão de nível prédio: 'Vinhedo 1' e 'Vinhedo 2' aparecem idênticas nas duas listas (lista_20 #6/#8, lista_30 #3/#4). Fusão de nível AOI: os dois prédios (mesmo operador, mesmo município, campus único) viram uma AOI."
atlantic-recife,Atlantic Data Center Recife 1,Atlantic Data Centers / Um Telecom,Recife,PE,Nordeste,Mata Atlântica,1,"[{""nome"": ""Atlantic Data Center Recife 1"", ""ano_construcao"": ""2025"", ""ano_operacao"": null, ""status"": ""Em construção"", ""fonte"": ""pesquisa_sv24_rodada2""}]",2025,,2025,,,,,Em construção,False,E1,,lista_30,https://revistane.com.br/2025/01/16/um-telecom-inicia-a-construcao-do-recife1-primeiro-data-center-da-atlantic-data-centers-em-pernambuco/,,,pendente,"PESQUISADO NA RODADA 2 (2026-08-31): construção iniciada em janeiro de 2025 no Parqtel (Parque Tecnológico de Eletrônicos), bairro Várzea, Recife (https://revistane.com.br/2025/01/16/um-telecom-inicia-a-construcao-do-recife1-primeiro-data-center-da-atlantic-data-centers-em-pernambuco/); inauguração prevista para o 1º trimestre de 2026 (https://teletime.com.br/21/07/2025/eletronet-sera-primeira-a-ancorar-em-data-center-da-atlantic-no-recife/). Ano de construção real (2025) agora conhecido, mas cai FORA da janela E1 (2013-2024) por 1 ano — e mesmo se fosse aceito, a operação prevista (2026) deixaria periodo_pos vazio (mesmo padrão de equinix-rj3/bytedance-pecem). Reprovação por E1 mantida, agora com data real em vez de 'sem dado'. É construção nova em terreno aberto (~14.000 m², E2 passaria) — o único motivo de reprovação é a data."
bytedance-pecem,Data Center ByteDance / Pecém,Omnia / Pátria,São Gonçalo do Amarante,CE,Nordeste,Caatinga,1,"[{""nome"": ""Data Center ByteDance / Pecém"", ""ano_construcao"": ""2026"", ""ano_operacao"": null, ""status"": ""Em construção"", ""fonte"": ""lista_20+lista_30""}]",2026,,2026,,,,,Em construção,False,E1,,lista_20+lista_30,https://bpmoney.com.br/inovacao/tecnologia/tiktok-data-center-ceara-50-bilhoes/,,,pendente,"Fusão de nível prédio: aparece nas duas listas com operador atribuído de forma divergente (lista_20 chama de 'ByteDance', lista_30 atribui a 'Omnia/Pátria' — discrepância preservada, não resolvida aqui). Ano de construção documentado é 2026, fora da janela E1 (2013-2024); status 'Em construção' sugere que a obra já começou, mas nenhuma fonte consultada documenta um ano de início anterior a 2026 — reprovado pelo dado disponível, não por presunção. CONFIRMADO NA RODADA 2 (2026-08-31): as obras do Complexo do Pecém começaram em janeiro de 2026 (https://bpmoney.com.br/inovacao/tecnologia/tiktok-data-center-ceara-50-bilhoes/ ; reportagens de imagens da obra e início de montagem confirmam o mesmo período), com início de operação previsto só para o 3º trimestre de 2027. Isso é AINDA MAIS TARDE que a suposição anterior (2026) — a data real (2026) segue fora da janela E1 (2013-2024), e mesmo usando 2026 como início, o período pós ficaria vazio (operação prevista 2027, fora da série 2013-2025). Reprovação por E1 mantida e reforçada, não revertida — apesar de ser o candidato de maior perfil de Nordeste/Caatinga, a linha do tempo real o exclui claramente desta rodada."
cirion-curitiba,Cirion CUR1,Cirion Technologies,Curitiba,PR,Sul,Mata Atlântica,1,"[{""nome"": ""Cirion CUR1"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://www.ciriontechnologies.com/pt-br/data-center/nossos-data-centers/curitiba-1/,,,pendente,"Sem ano documentado em nenhuma fonte consultada. PESQUISADO NA RODADA 2 (2026-08-31): confirmado que era originalmente uma facility Level3 (telecom legado), rebatizada Cirion em 2022 — rebranding não é construção nova nem dá um ano de construção verificável dentro da janela; a estrutura física é provavelmente anterior a 2013. Reprovação mantida por E1, agora com motivo mais preciso (facility legada, não sem-dado)."
clickip-manaus,ClickIP Datacenters,ClickIP Datacenters,Manaus,AM,Norte,Amazônia,1,"[{""nome"": ""ClickIP Datacenters"", ""ano_construcao"": ""2023"", ""ano_operacao"": ""2024"", ""status"": ""Operacional"", ""fonte"": ""pesquisa_sv24_rodada2""}]",2023,2024,2023,2024,2020-2022,2023-2024,2025-2025,Operacional,True,,1,lista_30,https://telesintese.com.br/grupo-clickip-inaugura-maior-data-center-da-regiao-norte/,,,pendente,"REVISADO NA RODADA 2 (SV-24 continuação, 2026-08-31): a lista_30 não tinha ano; pesquisa dirigida encontrou construção e operação em imprensa especializada. Construção: reportagem de julho/2023 já descreve obra em ritmo acelerado com ~R$16 milhões investidos na construção do espaço até aquele momento, visando inauguração no último trimestre de 2023 (https://telesintese.com.br/clickip-vai-inaugurar-maior-datacenter-comercial-da-regiao-norte/) — usado 2023 como ano de construção (obra já em andamento nessa data, início exato dentro de 2023 não documentado com mais precisão). Operação: inauguração efetiva em 22/08/2024, após atraso em relação ao previsto em 2023 (https://telesintese.com.br/grupo-clickip-inaugura-maior-data-center-da-regiao-norte/ ; https://www.arandanet.com.br/revista/rti/noticia/9467-Grupo-ClickIP-inaugura-data-center-edge-em-Manaus.html). ÚNICO candidato de Região Norte/bioma Amazônia em qualquer uma das duas listas — sem esta AOI, a região fica sem nenhuma representação no estudo. ATENÇÃO — ressalva de E2 para revisão humana: pegada pequena (área construída 685 m² em terreno de 1.200 m² = 0,12 ha), bem abaixo da ordem de grandeza '≥ 1 ha' citada no enunciado de SV-24 e menor que qualquer outra AOI elegível do conjunto (a menor até aqui era scala-spoapa01, 4.070 m² = 0,4 ha). É construção nova em terreno aberto, não colocation em prédio existente (passa no teste literal de E2 do ADR-005: greenfield vs. colocation urbana), mas a 34x35 m de footprint está no limite de visibilidade mesmo em Sentinel-2 (10 m, ~3x3 pixels) e é essencialmente invisível em Landsat (30 m) — o que não chega a importar aqui porque toda a janela pré/durante/pós desta AOI (2020-2025) cai na era Sentinel-2. Marcado elegível por satisfazer o critério E2 como documentado (não a leitura estendida de visibilidade em pixel), mas a decisão de manter é do usuário na aprovação do tier. E3: endereço e coordenada plausíveis via imprensa/DataCenterMap; exata fica para SV-25. E4: nenhuma outra AOI elegível em Manaus/AM."
elea-brasilia,Elea BSB2,Elea Data Centers,Brasília,DF,Centro-Oeste,Cerrado,1,"[{""nome"": ""Elea BSB2"", ""ano_construcao"": ""2004"", ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30+pagina_referencia_notion""}]",2004,,2004,,,,,,False,E1,,lista_30,https://eleadatacenters.com/datacenters/bsb2-brasilia/,,,pendente,"Construção documentada em 2004 (página de referência do Notion) — ANTERIOR à janela 2013-2025 do repositório (ADR-001). Único candidato de Centro-Oeste/Cerrado com data encontrada; perdido só por ser velho demais para a série, não por falta de dado."
elea-curitiba,Elea CTA1,Elea Data Centers,Curitiba,PR,Sul,Mata Atlântica,1,"[{""nome"": ""Elea CTA1"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://eleadatacenters.com/datacenters/cta1-curitiba/,,,pendente,"Sem ano documentado em nenhuma fonte consultada. PESQUISADO NA RODADA 2 (2026-08-31): confirmado que a Elea adquiriu esta facility da Oi em 2021 (Elea Data Centers foi fundada em 2020 pela Piemonte Holding) — é aquisição de infraestrutura de telecom legada, não construção nova; ano de construção original permanece indocumentado. Reprovação mantida por E1 (e provável risco adicional de E2, aquisição/rebranding em vez de greenfield, análogo ao caso elea-poa2 desta mesma rodada)."
elea-poa2,Elea POA2,Elea Data Centers,Porto Alegre,RS,Sul,Mata Atlântica,1,"[{""nome"": ""Elea POA2"", ""ano_construcao"": ""2022"", ""ano_operacao"": ""2023"", ""status"": ""Operacional"", ""fonte"": ""pesquisa_sv24_rodada2+pagina_referencia_notion""}]",2022,2023,2022,2023,2019-2021,2022-2023,2024-2025,Operacional,False,E2,,pagina_referencia_notion,https://www.datacenterdynamics.com/en/news/piemontes-elea-buys-tim-data-center-in-porto-alegre-brazil/,,,pendente,"ADICIONADO NA RODADA 2 (SV-24 continuação, 2026-08-31) por ter sido citado no ADR-005 como achado da página de referência do Notion a conferir. Não está em nenhuma das duas listas oficiais (lista_20/lista_30). Pesquisa dirigida confirma: a Elea comprou um prédio já existente da TIM Brasil em setembro/2022 ('purchase and sale agreement of a real estate owned by TIM'), no centro de Porto Alegre, com 4.000 m² já construídos junto a uma subestação de energia e dutos de fibra já existentes; primeira fase inaugurada em março/2023 (https://www.datacenterdynamics.com/en/news/piemontes-elea-buys-tim-data-center-in-porto-alegre-brazil/). REPROVADO POR E2: é aquisição/retrofit de uma instalação de telecom já existente (antigo PoP da TIM), não construção nova em terreno aberto — mesmo padrão do exemplo negativo do enunciado (surfix-recife). Também não acrescentaria bioma novo: mesmo município/UF de scala-spoapa01 (já elegível, Mata Atlântica/possível fronteira Pampa)."
equinix-rio-de-janeiro,Equinix RJ1/RJ2,Equinix,Rio de Janeiro,RJ,Sudeste,Mata Atlântica,2,"[{""nome"": ""Equinix RJ1"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}, {""nome"": ""Equinix RJ2"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/rio-de-janeiro-data-centers,,,pendente,"Fusão de nível AOI: RJ1+RJ2, mesmo operador+município, só na lista_30. Sem ano documentado — unidades aparentam ser legado da Equinix no Rio (mercado que a Equinix entrou há mais de uma década no Brasil), plausivelmente anteriores a 2013, mas isso não está confirmado em nenhuma fonte consultada; reprovado por ausência de data verificável, não por presumir data."
equinix-rj3,Equinix RJ3,Equinix,São João de Meriti,RJ,Sudeste,Mata Atlântica,1,"[{""nome"": ""Equinix RJ3"", ""ano_construcao"": ""2024-2025*"", ""ano_operacao"": ""2025*"", ""status"": ""Operacional / recente"", ""fonte"": ""lista_20+lista_30""}]",2024,2025,2024,2025,2021-2023,2024-2025,,Operacional / recente,False,E1,,lista_20+lista_30,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/rio-de-janeiro-data-centers,,,pendente,"Fusão de nível prédio: RJ3 aparece nas duas listas (lista_20 #17, lista_30 #12), mas com município divergente — lista_20 diz 'São João de Meriti', lista_30 diz genericamente 'Rio de Janeiro'. Usado o município da lista_20 (mais específico); revisar_manualmente em SV-25. Início de construção (2024) cai dentro da janela E1, mas operação estimada em 2025 significa periodo_pos = [2026,2025] — intervalo VAZIO dentro da série do repo (2013-2025), exatamente o caso descrito no enunciado ('um evento em 2025 não tem pós'). Reprovado por essa razão, não por falta de coordenada plausível (Equinix tem página com endereço, E3 passaria)."
equinix-santana-parnaiba,Equinix SP5x/SP6 (Santana de Parnaíba),Equinix,Santana de Parnaíba,SP,Sudeste,Mata Atlântica,2,"[{""nome"": ""Equinix SP5x"", ""ano_construcao"": ""2020-2021"", ""ano_operacao"": ""2021"", ""status"": ""Operacional"", ""fonte"": ""lista_20+lista_30""}, {""nome"": ""Equinix SP6"", ""ano_construcao"": null, ""ano_operacao"": ""2026"", ""status"": ""Operacional (2026)"", ""fonte"": ""lista_30""}]",2020,2021,2020,2021,2017-2019,2020-2021,2022-2025,Operacional,True,,1,lista_20+lista_30,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp6,,,pendente,"Fusão de nível prédio: SP5x aparece nas duas listas (lista_20 #10, lista_30 #2). Fusão de nível AOI: SP6 (só na lista_30, mesmo operador+município) entra como prédio adicional do mesmo campus. SP6 preservado em predios_json (nenhuma informação de ano perdida), mas EXCLUÍDO do cálculo de ano_operacao_max/periodo_pos porque sua operação (2026) cairia fora da série do repo (2013-2025) e geraria periodo_pos vazio para uma AOI que já é elegível via SP5x — ver ADR-005 para a regra geral. Reforço de fonte: a página de referência do Notion cita um estudo do governo federal com período de construção de 'Equinix SP5 – 1ª fase' de novembro/2020 a outubro/2021 — datas idênticas às de SP5x na lista_20, forte indício de que é o mesmo prédio (não um 7º prédio novo); tratado aqui como confirmação da data de SP5x, não como prédio adicional."
everest-goiania,Everest Digital Data Center,Everest Digital (Grupo Soluti),Goiânia,GO,Centro-Oeste,Cerrado,1,"[{""nome"": ""Everest Digital Data Center"", ""ano_construcao"": ""2021"", ""ano_operacao"": ""2023"", ""status"": ""Operacional"", ""fonte"": ""pesquisa_sv24_rodada2""}]",2021,2023,2021,2023,2018-2020,2021-2023,2024-2025,Operacional,True,,1,lista_30,"https://www.arandanet.com.br/revista/rti/noticia/8167-Everest-Digital,-o-primeiro-data-center-de-servicos-gerenciados-Tier-III-do-Centro-Oeste.html",,,pendente,"REVISADO NA RODADA 2 (SV-24 continuação, 2026-08-31): a lista_30 não tinha ano; pesquisa dirigida encontrou construção e operação em imprensa de negócios local. Construção: 'em 2021, a diretoria [do Grupo Soluti] anunciou a construção da nova sede em Goiânia com data center incluído', obras concluídas em ~1,5 ano (https://www.arandanet.com.br/revista/rti/noticia/8167-Everest-Digital,-o-primeiro-data-center-de-servicos-gerenciados-Tier-III-do-Centro-Oeste.html). Operação: Grupo Soluti inicia operações da Everest Digital em maio/2023 (https://empreenderemgoias.com.br/2023/05/02/grupo-soluti-inicia-operacoes-da-everest-digital/); sede/data center inaugurados formalmente em 31/10/2023 (https://empreenderemgoias.com.br/2023/10/31/soluti-inaugura-sede-inovadora-em-goiania/). Usado ano_operacao=2023 (início efetivo de operação, mais próximo do inauguração formal, convenção mais conservadora que a data de anúncio). ÚNICO candidato de Centro-Oeste/Cerrado elegível nesta rodada — elea-brasilia (BSB2) ficou de fora por construção de 2004 (anterior à janela 2013-2025) e nenhuma expansão datável foi encontrada. E2: construção nova (prédio-sede com data center integrado, LEED Gold, TUV Rheinland Tier III construção+operação), área total 4.500 m² (0,45 ha) — pegada visível. E3: fonte plausível (imprensa de negócios local + site institucional da Everest/Soluti); endereço exato fica para SV-25. E4: nenhuma outra AOI elegível em Goiânia/GO nesta rodada."
